MarkerID,AlleleID,AlleleTag,Design_chr,Design_pos,Is_coord_marker,Rank,Reads,Share_pct,Hit_chr,Hit_start,Hit_end,Percent_identity,Evalue,Alignment_len,Query_len,Query_cov_pct,Hit_mid,PosKey,Coverage_pass,TopTieUniquePos,Ref_chr,Ref_start,Ref_end,Best_hit_category,Off_target_hits
REN11_Chr15__13735991-13736101_000000056,REN11_Chr15__13735991-13736101_000000056|AltMatch_0002:rank=15:reads=1008:share=0.36%,AltMatch_0002,REN11,,False,15.0,1008,0.36,chr15,13674646,13674754,96.33,1.0000000000000001e-45,109,109,100,13674700,chr15:13674646-13674754,True,1,chr15,13735938.0,13736045.0,Putative_paralog,2
REN11_Chr15__13735991-13736101_000000056,REN11_Chr15__13735991-13736101_000000056|AltMatch_0003:rank=3:reads=48206:share=16.98%,AltMatch_0003,REN11,,False,3.0,48206,16.98,chr15,13674646,13674754,97.248,4.099999999999999e-48,109,109,100,13674700,chr15:13674646-13674754,True,1,chr15,13735938.0,13736045.0,Putative_paralog,2
REN11_Chr15__13735991-13736101_000000056,REN11_Chr15__13735991-13736101_000000056|AltMatch_0017:rank=12:reads=1346:share=0.47%,AltMatch_0017,REN11,,False,12.0,1346,0.47,chr15,13674646,13674754,96.33,1.0000000000000001e-45,109,109,100,13674700,chr15:13674646-13674754,True,1,chr15,13735938.0,13736045.0,Putative_paralog,2
REN11_Chr15__13735991-13736101_000000056,REN11_Chr15__13735991-13736101_000000056|AltMatch_0004:rank=23:reads=430:share=0.15%,AltMatch_0004,REN11,,False,23.0,430,0.15,chr15,13674646,13674754,96.33,1.0000000000000001e-45,109,109,100,13674700,chr15:13674646-13674754,True,1,chr15,13735938.0,13736045.0,Putative_paralog,2
REN39_Chr15__2434436-2434546_000000056,REN39_Chr15__2434436-2434546_000000056|AltMatch_0024:rank=47:reads=57:share=0.02%,AltMatch_0024,REN39,,False,47.0,57,0.02,chr04,205470,205578,98.165,1.68e-50,109,109,100,205524,chr04:205470-205578,True,1,chr15,2434405.0,2434513.0,Putative_paralog,5
REN39_Chr15__2434436-2434546_000000056,REN39_Chr15__2434436-2434546_000000056|AltMatch_0027:rank=50:reads=46:share=0.01%,AltMatch_0027,REN39,,False,50.0,46,0.01,chr04,205470,205578,98.165,1.68e-50,109,109,100,205524,chr04:205470-205578,True,1,chr15,2434405.0,2434513.0,Putative_paralog,6
REN39_Chr15__2434436-2434546_000000056,REN39_Chr15__2434436-2434546_000000056|AltMatch_0032:rank=53:reads=41:share=0.01%,AltMatch_0032,REN39,,False,53.0,41,0.01,chr04,205470,205578,98.165,1.68e-50,109,109,100,205524,chr04:205470-205578,True,1,chr15,2434405.0,2434513.0,Putative_paralog,6
REN39_Chr15__2434436-2434546_000000056,REN39_Chr15__2434436-2434546_000000056|AltMatch_0016:rank=9:reads=5386:share=0.58%,AltMatch_0016,REN39,,False,9.0,5386,0.58,chr04,205470,205576,98.131,2.63e-49,107,109,98,205523,chr04:205470-205576,True,1,chr15,2434405.0,2434513.0,Putative_paralog,5
REN39_Chr15__2434436-2434546_000000056,REN39_Chr15__2434436-2434546_000000056|AltMatch_0008:rank=16:reads=617:share=0.07%,AltMatch_0008,REN39,,False,16.0,617,0.07,chr04,205470,205576,98.131,2.63e-49,107,109,98,205523,chr04:205470-205576,True,1,chr15,2434405.0,2434513.0,Putative_paralog,4
REN39_Chr15__2434436-2434546_000000056,REN39_Chr15__2434436-2434546_000000056|AltMatch_0005:rank=19:reads=505:share=0.05%,AltMatch_0005,REN39,,False,19.0,505,0.05,chr04,205470,205576,98.131,2.63e-49,107,109,98,205523,chr04:205470-205576,True,1,chr15,2434405.0,2434513.0,Putative_paralog,5
REN39_Chr15__2434436-2434546_000000056,REN39_Chr15__2434436-2434546_000000056|AltMatch_0012:rank=1:reads=264001:share=28.53%,AltMatch_0012,REN39,,False,1.0,264001,28.53,chr04,262710,262741,100.0,2.52e-09,32,109,100,262725,chr04:262710-262741,True,1,chr15,2434405.0,2434513.0,Putative_paralog,5
REN39_Chr15__2434436-2434546_000000056,REN39_Chr15__2434436-2434546_000000056|AltMatch_0059:rank=48:reads=55:share=0.01%,AltMatch_0059,REN39,,False,48.0,55,0.01,chr04,205470,205576,98.131,2.63e-49,107,109,98,205523,chr04:205470-205576,True,1,chr15,2434405.0,2434513.0,Putative_paralog,6
REN39_Chr15__2434436-2434546_000000056,REN39_Chr15__2434436-2434546_000000056|AltMatch_0013:rank=18:reads=603:share=0.07%,AltMatch_0013,REN39,,False,18.0,603,0.07,chr04,205470,205576,100.0,4.419999999999999e-54,107,109,98,205523,chr04:205470-205576,True,1,chr15,2434405.0,2434513.0,Putative_paralog,6
REN39_Chr15__2434436-2434546_000000056,REN39_Chr15__2434436-2434546_000000056|AltMatch_0011:rank=14:reads=828:share=0.09%,AltMatch_0011,REN39,,False,14.0,828,0.09,chr04,262710,262741,100.0,2.52e-09,32,109,98,262725,chr04:262710-262741,True,1,chr15,2434405.0,2434513.0,Putative_paralog,5
REN39_Chr15__2434436-2434546_000000056,REN39_Chr15__2434436-2434546_000000056|AltMatch_0038:rank=12:reads=1295:share=0.35%,AltMatch_0038,REN39,,False,12.0,1295,0.35,chr04,205470,205577,100.0,1.12e-54,108,109,99,205523,chr04:205470-205577,True,1,chr15,2434405.0,2434513.0,Putative_paralog,6
REN39_Chr15__2434436-2434546_000000056,REN39_Chr15__2434436-2434546_000000056|AltMatch_0001:rank=13:reads=1470:share=0.16%,AltMatch_0001,REN39,,False,13.0,1470,0.16,chr04,262710,262741,100.0,2.52e-09,32,109,100,262725,chr04:262710-262741,True,1,chr15,2434405.0,2434513.0,Putative_paralog,5
REN39_Chr15__2434436-2434546_000000056,REN39_Chr15__2434436-2434546_000000056|AltMatch_0041:rank=33:reads=87:share=0.02%,AltMatch_0041,REN39,,False,33.0,87,0.02,chr04,205470,205576,97.196,6.400000000000001e-47,107,109,98,205523,chr04:205470-205576,True,1,chr15,2434405.0,2434513.0,Putative_paralog,3
REN39_Chr15__2434436-2434546_000000056,REN39_Chr15__2434436-2434546_000000056|AltMatch_0036:rank=17:reads=441:share=0.12%,AltMatch_0036,REN39,,False,17.0,441,0.12,chr04,262710,262741,100.0,2.52e-09,32,109,99,262725,chr04:262710-262741,True,1,chr15,2434405.0,2434513.0,Putative_paralog,5
REN39_Chr15__2434436-2434546_000000056,REN39_Chr15__2434436-2434546_000000056|AltMatch_0026:rank=32:reads=92:share=0.02%,AltMatch_0026,REN39,,False,32.0,92,0.02,chr04,205470,205578,98.165,1.68e-50,109,109,100,205524,chr04:205470-205578,True,1,chr15,2434405.0,2434513.0,Putative_paralog,6
REN39_Chr15__2434436-2434546_000000056,REN39_Chr15__2434436-2434546_000000056|AltMatch_0046:rank=45:reads=61:share=0.02%,AltMatch_0046,REN39,,False,45.0,61,0.02,chr04,205470,205576,99.065,1.08e-51,107,109,98,205523,chr04:205470-205576,True,1,chr15,2434405.0,2434513.0,Putative_paralog,5
REN39_Chr15__2434436-2434546_000000056,REN39_Chr15__2434436-2434546_000000056|AltMatch_0045:rank=35:reads=80:share=0.02%,AltMatch_0045,REN39,,False,35.0,80,0.02,chr04,205470,205576,99.065,1.08e-51,107,109,98,205523,chr04:205470-205576,True,1,chr15,2434405.0,2434513.0,Putative_paralog,5
REN39_Chr15__2434436-2434546_000000056,REN39_Chr15__2434436-2434546_000000056|AltMatch_0003:rank=4:reads=95351:share=10.30%,AltMatch_0003,REN39,,False,4.0,95351,10.3,chr04,205470,205578,99.083,6.899999999999999e-53,109,109,100,205524,chr04:205470-205578,True,1,chr15,2434405.0,2434513.0,Putative_paralog,6
REN39_Chr15__2434436-2434546_000000056,REN39_Chr15__2434436-2434546_000000056|AltMatch_0033:rank=54:reads=39:share=0.01%,AltMatch_0033,REN39,,False,54.0,39,0.01,chr04,262710,262741,100.0,2.52e-09,32,109,100,262725,chr04:262710-262741,True,1,chr15,2434405.0,2434513.0,Putative_paralog,4
REN39_Chr15__2434436-2434546_000000056,REN39_Chr15__2434436-2434546_000000056|AltMatch_0050:rank=51:reads=43:share=0.01%,AltMatch_0050,REN39,,False,51.0,43,0.01,chr04,262710,262741,100.0,2.52e-09,32,109,100,262725,chr04:262710-262741,True,1,chr15,2434405.0,2434513.0,Putative_paralog,4
REN39_Chr15__2434436-2434546_000000056,REN39_Chr15__2434436-2434546_000000056|AltMatch_0037:rank=49:reads=53:share=0.01%,AltMatch_0037,REN39,,False,49.0,53,0.01,chr04,262710,262741,100.0,2.52e-09,32,109,100,262725,chr04:262710-262741,True,1,chr15,2434405.0,2434513.0,Putative_paralog,4
REN39_Chr15__2434436-2434546_000000056,REN39_Chr15__2434436-2434546_000000056|AltMatch_0028:rank=46:reads=59:share=0.02%,AltMatch_0028,REN39,,False,46.0,59,0.02,chr04,262710,262741,100.0,2.52e-09,32,109,100,262725,chr04:262710-262741,True,1,chr15,2434405.0,2434513.0,Putative_paralog,4
